mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_leaves,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.03947172164917,0.3980526693526252,0.12620024681091307,0.004604182191274039,0.6,15,200,-1,0.1,0.8,"{'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6738600765750088,0.702180826896865,0.7062166155244914,0.7259931895573212,0.7185779816513762,0.7053657380410125,0.017908263417627624,10
1.2372526168823241,0.40008205809718794,0.1961211681365967,0.010438695965673704,0.8,31,200,-1,0.05,0.6,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 200, 'max_depth': -1, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6851083448593822,0.7138278388278387,0.7211997273346966,0.7346387575962189,0.7292476560713469,0.7168044649378967,0.017353487619344243,6
0.9022457599639893,0.33359053001823047,0.10353798866271972,0.005718683376177968,1.0,31,100,-1,0.01,0.8,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6362610069993226,0.6401879615126427,0.6392929066905347,0.6492972231744942,0.6625957588542245,0.6455269714462437,0.00957898730821049,22
0.6944942474365234,0.2775903452496583,0.07638883590698242,0.004903658829706089,0.8,31,100,5,0.05,0.8,"{'subsample': 0.8, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6386730077717201,0.662709736331469,0.6556122448979591,0.669750231267345,0.6766432600437435,0.6606776960624474,0.013047639006439285,20
0.7032207489013672,0.2822581325742503,0.0672152042388916,0.0026962958676738976,1.0,15,100,5,0.01,1.0,"{'subsample': 1.0, 'num_leaves': 15, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.6170003281916641,0.6020126064359174,0.572755777493903,0.5805926786751888,0.600427110261886,0.5945577002117118,0.01589995479555949,29
1.965897226333618,0.8732267112068747,0.23986377716064453,0.013099159024433154,1.0,31,500,3,0.01,0.8,"{'subsample': 1.0, 'num_leaves': 31, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6180081855388813,0.6125899691534332,0.5970184020498485,0.6163246483744524,0.6178768382352942,0.6123636086703819,0.007917997083760443,24
2.578004741668701,1.058324836010044,0.4728830337524414,0.026633508463468902,0.6,15,500,-1,0.01,0.6,"{'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 500, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.6461786372007366,0.6526074498567336,0.6480860414016422,0.6671229751311887,0.6627015898433033,0.6553393386867209,0.008210344934878705,21
0.6378889560699463,0.28347725573691607,0.06131720542907715,0.0055360899948952,0.6,15,100,3,0.05,0.6,"{'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6114837976122797,0.6092032967032966,0.5982686008423023,0.6129593137823114,0.6132723112128147,0.609037464030601,0.005573065565165577,26
2.8984116554260253,1.15973667981185,0.4646327495574951,0.03261576236394192,0.8,63,500,5,0.05,0.6,"{'subsample': 0.8, 'num_leaves': 63, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.683985682946542,0.7204313410577033,0.7279353148844095,0.7459044175799344,0.7520547945205478,0.7260623101978274,0.023979061647556307,5
2.2267291069030763,0.9586610577439968,0.2765866756439209,0.01240087318972068,0.6,15,500,3,0.05,0.8,"{'subsample': 0.6, 'num_leaves': 15, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6452804061850912,0.6767261088248742,0.6679705476300046,0.6856236546958197,0.6770392403615146,0.6705279915394609,0.013803428203260817,18
2.2693005561828614,0.9536057853399043,0.28058857917785646,0.011499064841733422,1.0,15,500,3,0.05,0.8,"{'subsample': 1.0, 'num_leaves': 15, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.6452804061850912,0.6767261088248742,0.6679705476300046,0.6856236546958197,0.6770392403615146,0.6705279915394609,0.013803428203260817,18
1.3726138114929198,0.46445430907530516,0.17985239028930664,0.017880729807046924,0.8,63,100,-1,0.1,1.0,"{'subsample': 0.8, 'num_leaves': 63, 'n_estimators': 100, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6956321309208252,0.7365426197792192,0.7523852794184461,0.7723842775087284,0.7723382403286546,0.7458565095911747,0.028484613830099138,3
6.129093503952026,2.328962018069378,1.794666624069214,0.44858236995923884,0.6,63,500,-1,0.01,0.6,"{'subsample': 0.6, 'num_leaves': 63, 'n_estimators': 500, 'max_depth': -1, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",0.688626907073509,0.7251368613138686,0.7299435028248589,0.7519747235387046,0.7442548350398178,0.7279873659581518,0.021914476702847775,4
