mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_learning_rate_init,param_hidden_layer_sizes,param_alpha,param_activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.256212854385376,1.1236854832020362,0.024713897705078126,0.0020921215867040267,sgd,0.001,"(100,)",0.01,logistic,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.01, 'activation': 'logistic'}",0.6757369614512472,0.6808941506347846,0.6799375487900078,0.6794972505891594,0.6839692283782733,0.6800070279686945,0.002645153572356016,7
2.9025265693664553,1.354997248620492,0.04070868492126465,0.0037272102477385856,sgd,0.001,"(100, 50)",0.01,logistic,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'activation': 'logistic'}",0.6757369614512472,0.6809968847352025,0.6804830541488119,0.6867245657568237,0.6839692283782733,0.6815821388940717,0.003684002152284408,1
18.383085107803346,26.281013951644475,0.05464668273925781,0.010002002731086297,adam,0.0001,"(100, 50)",0.01,tanh,"{'solver': 'adam', 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.6378116343490305,0.6626272826727257,0.5867905056759545,0.5493505051626513,0.5848819688598695,0.6042923793440462,0.040566465357676565,24
3.1482608318328857,1.9567834597272973,0.032366180419921876,0.0038468037320047205,sgd,0.001,"(100,)",0.001,logistic,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'logistic'}",0.6757369614512472,0.6808941506347846,0.6798344913732531,0.6630892429621069,0.6839692283782733,0.6767048149599331,0.007299830839183898,8
17.568132972717287,16.734969204813737,0.032103776931762695,0.009070750366876011,sgd,0.001,"(50, 50)",0.0001,relu,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'activation': 'relu'}",0.6345713782784721,0.6538926290350422,0.6302743096691881,0.6569621349969673,0.6287821482602117,0.6408965200479763,0.012054871281276195,15
13.330151557922363,11.536357341722566,0.056531095504760744,0.017024453715713088,sgd,0.001,"(50, 50)",0.001,tanh,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'activation': 'tanh'}",0.6233669971277679,0.6316460305899491,0.5647797380668904,0.652832501532265,0.6227706545840163,0.6190791843801777,0.02924945880792747,21
7.533992004394531,3.372290395941069,0.04864792823791504,0.006473532412842711,adam,0.001,"(50, 50)",0.001,logistic,"{'solver': 'adam', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'activation': 'logistic'}",0.6757369614512472,0.6377642422070942,0.5068192888455918,0.6836136096988658,0.6510263929618767,0.6309920990329351,0.06424522977439315,16
5.101885414123535,2.6439171765075495,0.025361394882202147,0.00451342801451392,sgd,0.0001,"(50,)",0.0001,tanh,"{'solver': 'sgd', 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'tanh'}",0.45876486382815496,0.5452957869460816,0.5280358142137661,0.5180023228803716,0.5681630971993409,0.5236523770135431,0.03663650749115226,29
3.5852972507476806,1.3903599452173916,0.03934926986694336,0.006553180935093084,sgd,0.0001,"(50, 50)",0.01,logistic,"{'solver': 'sgd', 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.01, 'activation': 'logistic'}",0.6757369614512472,0.6809968847352025,0.6804830541488119,0.6867245657568237,0.6839692283782733,0.6815821388940717,0.003684002152284408,1
9.661308860778808,9.184129192102823,0.05486330986022949,0.0069698290078211746,sgd,0.0001,"(100, 50)",0.01,tanh,"{'solver': 'sgd', 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'activation': 'tanh'}",0.5453568357695615,0.5441144591372209,0.5643196365888912,0.5362381363244175,0.6267348429510592,0.56335278215423,0.03300724652440305,27
3.0743704319000242,1.4634503835108301,0.04167017936706543,0.00411454302059015,sgd,0.001,"(50, 50)",0.0001,logistic,"{'solver': 'sgd', 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'activation': 'logistic'}",0.6757369614512472,0.6809968847352025,0.6804830541488119,0.6867245657568237,0.6839692283782733,0.6815821388940717,0.003684002152284408,1
10.835694408416748,8.28216239551449,0.027589035034179688,0.006132857231986793,adam,0.0001,"(100,)",0.001,relu,"{'solver': 'adam', 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'relu'}",0.623026498014957,0.6185804962492787,0.5796888141295207,0.644469525959368,0.6200759848030394,0.6171682638312328,0.020951545113122985,22
22.272193670272827,17.21843359448656,0.05644726753234863,0.004132578638260148,adam,0.01,"(100, 50)",0.001,logistic,"{'solver': 'adam', 'learning_rate_init': 0.01, 'hidden_layer_sizes': (100, 50), 'alpha': 0.001, 'activation': 'logistic'}",0.6479120879120879,0.6657751776013373,0.666444814198558,0.5874226804123712,0.6816727117559205,0.6498454943760551,0.032992756041508205,13
