mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.076030778884888,9.016552099833897,0.3146504402160645,0.09222622103923249,100,10,4,sqrt,,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.7068649885583524,0.7683284457478006,0.7923627684964201,0.8274929577464788,0.834225817477498,0.78585499560531,0.04617880156749152,19
17.23487753868103,10.685195648460999,0.3397106170654297,0.09100347909692054,100,2,1,sqrt,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.7258953168044078,0.7903811252268602,0.8199521694567816,0.8430513425457814,0.8550708215297451,0.8068701551127152,0.04611362968156806,4
85.69977259635925,43.43784868658305,2.2473742961883545,0.5216843230648941,500,2,1,log2,,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.7349315068493151,0.7939914163090129,0.8222222222222221,0.8465584778959149,0.8597305558700329,0.8114868358292995,0.04436109381213962,3
10.817861747741699,5.264768376387568,0.18827376365661622,0.01274223001357322,100,2,2,sqrt,10,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.6689830901088719,0.6989871400933196,0.7032992297965284,0.7319004524886877,0.7300328537441939,0.7066405532463204,0.023121790318019537,24
18.210456132888794,10.309236430319745,0.2038288116455078,0.02981894473727695,100,2,4,sqrt,10,False,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.6655959619135023,0.6975,0.6987120515179394,0.7270248778825399,0.7293531211056984,0.7036372024839361,0.02331244380847217,27
21.214416408538817,11.197619833452613,0.36598219871521,0.0836915431890816,100,2,4,sqrt,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.7044385824062392,0.7708144796380091,0.7968217934165721,0.8260918632208554,0.8382470119521912,0.7872827461267734,0.04760011900750387,18
30.69783263206482,13.959319714473327,0.3393417835235596,0.048789631963739206,100,5,1,sqrt,20,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.7272936307197057,0.786369296954602,0.8153881174595948,0.8432517403997305,0.8528103979021776,0.8050226366871621,0.04525996715889331,7
29.31858286857605,14.277349692725036,0.427755069732666,0.05861467423086706,200,10,1,log2,10,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",0.6679777880610828,0.7032891731384194,0.6990624285387605,0.7272933696639419,0.7345182837088191,0.7064282086222048,0.023524244366196063,25
126.49675941467285,66.50586761738741,2.3814011573791505,1.5939616322345813,500,5,4,log2,20,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}",0.7218062435203317,0.7767695099818511,0.80474994290934,0.8312507035911292,0.8422612263505812,0.7953675252706466,0.043201388388643604,13
16.575763463974,8.792371040280885,0.3955557823181152,0.06986133468640701,100,2,2,log2,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.7187356848373797,0.7838205302515294,0.808927351400592,0.8389487870619946,0.8495976425252182,0.8000059992153428,0.046738197956121524,11
105.18102450370789,50.32290532020387,1.1602298259735107,0.34306648372490156,500,10,2,sqrt,10,False,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.6667433038280263,0.7026965265082267,0.7028264103444329,0.7290606985418785,0.7392978482446206,0.708124957493437,0.025219191485723887,23
94.73821763992309,44.92420255615237,1.0542100429534913,0.08250613381635545,500,2,1,sqrt,10,False,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.6757789876056991,0.706405288351949,0.7074985689753863,0.7291053227633069,0.7364026179192056,0.7110381571231094,0.021198960059921817,22
58.422930574417116,29.90179744373084,0.7644790172576904,0.03421782380116391,200,2,2,sqrt,20,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.7306145893164848,0.7885636795118094,0.8157534246575343,0.841809812507017,0.8533363698474152,0.8060155751680522,0.043829643114743785,5
40.79465446472168,21.308867012763322,0.7182774543762207,0.11349774785685636,200,10,2,sqrt,,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.7084668192219679,0.7711088504577823,0.8007701891493941,0.8321348314606742,0.8435513169845595,0.7912064014548756,0.04848988064281452,15
