,rf,xgb,lgbm,mlp
MACD,12.843930922121114,8.008975174266645,11.33682928913194,0.0
Volatility,-0.821273457202307,-1.131875497327215,0.00248433408155522,0.0
BB_Upper,1.2233033754223033,2.006281712943158,4.686825160644689,0.0
BB_Lower,1.511475964318064,3.1327336957351126,3.118448266092483,0.0
BB_Middle,2.3147559267856956,3.2698271952975317,1.7133992362650883,0.0
